Rate Plan	Pws cost	New Cost
AXIOM :: VZWPublic :: (390) :: 5 GB	34	12.35
AYLANETWORKS :: VZWPublic :: (190) :: 5 GB	34	12.35
COUNTRY CLUB HILLS OWNER LLC :: VZWPublic :: (60) :: 5 GB	34	12.35
DFUZION :: VZWPublic :: (262) :: 5 GB	34	12.35
ERIKS FRANK 1 :: VZWPublic :: (533) :: 5 GB	34	12.35
GL MADERA :: VZWPublic :: (380) :: 5 GB	34	12.35
GL MERCED :: VZWPublic :: (379) :: 5 GB	34	12.35
GOLDEN LEAF :: VZWPublic :: (263) :: 5 GB	34	12.35
GROUPONE :: VZWPublic :: (397) :: 5 GB	34	12.35
Idaho Water VZW 5GB :: Public Static ::	34	12.35
Intellectual Technology-VZW-PUBS-5GB	34	12.35
JMANN :: VZWPublic :: (446) :: 5 GB	34	12.35
MATRIX NETWORKS :: VZW-PUBS :: (473) :: 5 GB	34	12.35
MICHAELMOYA :: VZWPublic :: (516) :: 5 GB	34	12.35
NORMAN INTERNATIONAL :: VZWPublic :: (320) :: 5 GB	34	12.35
OWENSHEALTH :: VZWPublic :: (616) :: 5 GB	34	12.35
PICT VZW 5GB :: 48a9284b-2f5c-488b-b731-7a77fb205eea	34	12.35
POWIN :: VZWPublic :: (406) :: 5 GB	34	12.35
SCAN IT :: VZWPublic :: (375) :: 5 GB	34	12.35
SEPIPELINE :: VZWPublic :: (210) :: 5 GB	34	12.35
SYARINDUSTRIES :: VZWPublic :: (196) :: 5 GB	34	12.35
Syncromatics::VZWPublic::5GB	34	12.35
TALKINGRAIN :: VZWPublic :: (597) :: 5 GB	34	12.35
TAOGLAS :: VZWPublic :: (284) :: 5 GB	34	12.35
TOG :: VZWPublic :: (413) :: 5 GB	34	12.35
UNITEDOIL :: VZWPublic :: (192) :: 5 GB	34	12.35
VIRTUAL POWER :: VZWPublic :: (394) :: 5 GB	34	12.35
Corporate IT Solutions :: VZWPublic :: (38) :: 5 GB	34	12.35
Microspace Communications (5GB) :: VZWPublic :: (34) :: 5 GB	34	12.35
DMG-LEXUS-VZW-PUBS-5GB :: 1d23f447-dfdb-4dd7-882e-b84c4ddabf0c	34	12.35
Foothill VZW 5GB :: ac91e822-1e9a-4eb9-bfe2-6109292de99e	34	12.35
Deacon VZW 5GB :: Public Static :: (2)	34	12.35
Deacon VZW 5GB :: Public Static :: (1)	34	12.35
Destination Media Solutions :: VZWPublic :: (617) :: 5 GB	34	12.35
Sensity (Public) :: VZWPublic :: (55) :: 5 GB	34	12.35
Razor VZW Demo	34	12.35
TAOGLAS ATT 5GB	30	
Cobalt Robotics :: VZWPublic :: (679) :: 5 GB	34	12.35
D&D Airpark LLC :: VZWPublic :: (681) :: 5 GB	34	12.35
Essex Corporation :: VZWPublic :: (714) :: 5 GB	34	12.35
DMG Demo-VZW-PUBS-5GB	34	12.35
Zenspace VZW 5GB	34	12.35
e2 :: Optics :: VZW :: Public Static :: 5GB	34	12.35
Seeonic :: VZW :: Public :: Dynamic :: Demo 1GB	34	12.35
Powerside :: VZW :: PublicStatic :: 5GB	34	12.35
Deacon10028 VZW public static 5GB	34	12.35
Medstar Ambulance VZW DIA 5GB	34	12.35
ANICO (Colliers) VZWPublicStatic 5GB	34	12.35
Sensoscientific VZW Open DIA 5GB	34	12.35
Sunfolding VZW DIA 5GB	34	12.35
Foxwood VZW :: Public Static :: 5GB	34	12.35
Farm from a Box :: VZWPublic :: 5 GB	34	12.35
Precision Alarms-VZW-PUBD-5GB	34	12.35
Arcadia Center-VZW-PUBS-5GB	34	12.35
The Mobility House-VZW-PUBD-5GB	34	12.35
Precision Alarms-VZW-PUBS-5GB	34	12.35
Lexmark-VZW-PUBD-5GB	34	12.35
PINC-VZW-PUBS-5GB	34	12.35
Mandelbaum-NZW-PUBD-5GB	34	12.35
Western Allied Mechanical-NSA-VZW-PUBD-5GB	34	12.35
H&R Waterworks ATT 1GB	8	
Microtools SWI Demo	0.28	
Locus SWI 1MB	0.28	
AlsoEnergy SWI 1MB Passive	0.22	
Direct Importing Company-VZW-PUBD-5GB	34	12.35
DFuzion USDOT-VZW-PUBD-5GB	34	12.35
EM Company-VZW-PUBS-5GB	34	12.35
Lexmark-VZW-PUBS-5GB	34	12.35
Air Systems Service-VZW-PUBS-5GB	34	12.35
Safe-T-Sense-VZW-PUBS-5GB	34	12.35
Sciton TMO PPU	0.5	
Sciton VDF PPU	0.25	
Texian Geospatial-VZW-PUBD-5GB	34	12.35
Axiom Cloud Inc-VZW-PUBD-5GB 	34	12.35
Hatchell & Associates-VZW-PUBS-5GB	34	12.35
Companion Labs-VZW-PUBS-5GB	33	12.35
Dusty Robotics-VZW-DIA-5GB	33	12.35
Swiftmile-VZW-PUBD-5GB :: e6cfbce8-b5a6-4af7-a6ec-c6068c99ccb3	33	12.35
Wisran VZW 8GB :: e7a8dc44-73cb-40e7-a867-e4bf199ab5f6	38.4	19.61
SMC-TELUS-DIA-250MB	8.5	
Premium Retail Services 4GB :: bc55f2ea-78a3-4363-97f3-39c3b76fc280	26.5	9.93
One Medical-VZW-PUBS-4GB	26.5	9.93
Volta-VZW-PUBS-4GB	26.5	9.93
Canyon Country-VZW-PUBS-4GB	26.5	9.93
Sierra Controls-VZW-PN-10GB	41	24.45
Michael Ehrhardt-VZW-PUBS-10GB	41	24.45
Jet Motor Coach-VZW-PUBS-10GB	40.25	24.45
Olyns-VZW-PUBS-10GB	40.25	24.45
Mark Judge (Marathon)VZW--PUBS-10GB	40.25	24.45
James Fersch (Marathon)-VZW-PUBS-10GB	40.25	24.45
Executive Offices of CA Centers-VZW-PUBS-10GB	40.25	24.45
 Doug Mclaughlin-VZW-PUBS-10GB	40.25	24.45
John Riley (Marathon)-VZW-PUBS-10GB	40.25	24.45
Envirosmarts-VZW-PUBS-10GB	40.25	24.45
Schwazze-NSA-VZW-PUBD-10GB	40.25	24.45
"Van Hessen USA Operations, LLC-VZW-PUBD-10GB"	40.25	24.45
Maestro ATT Demo	8	
Rhonda Gallagher-VZW-PUBS-10GB	40.25	24.45
Advantage Controls ATT 50MB	3.5	
Owensboro RV-VZW-PUBS-10GB	40.25	24.45
Kathy Pickett (Marathon)-VZW-PUBS-10GB	40.25	24.45
PB Brown LLC-VZW-PUBD-10GB	40.25	24.45
Adveez TMO PPU	0.5	
Agtek TMO 200MB	3	
SpiralAxis TMO 10MB	0.6	
Phrame TMO Demo	0.5	
Slightech TMO Demo	0.5	
Santa Cruz County TMO PPU	0.5	
George Hahn (Marathon)-VZW-PUBS-10GB	40.25	24.45
Sheridan Young VZW-PUBS-10GB	40.25	24.45
Trampas Whitaker (Martathon)-VZW-PUBS-10GB	40.25	24.45
Joseph Zehr (Marathon)-VZW-PUBS-10GB	40.25	24.45
Kim Mulder (Marathon)-VZW-PUBS-10GB	40.25	24.45
Roger Henson (Marathon)-VZW-PUBS-10GB	40.25	24.45
L.A. Drones LLC-VZW-PUBS-10GB	40.25	24.45
Avanti Markets ATT 1GB	8	
HQCA-VZW-PUBS-10GB	40.25	24.45
Jay and Michelle Mannino (marathon)-VZW-PUBS-10GB	40.25	24.45
"Broderick Coach Services, LLC-VZW-PUBS-10GB"	40.25	24.45
"MonoLets, Inc.-VZW-DIA-10GB"	40.25	24.45
S&M Moving-VZW-PUBS-10GB	40.25	24.45
Neal Nowe-VZW-PUBS-10GB	40.25	24.45
Todd Burkhalter-VZW-PUBS-10GB	40.25	24.45
Remprex LLC-VZW-PUBS-10GB	40.25	24.45
Deery Brothers Inc.-VZW-PUBS-10GB	40.25	24.45
Ron Meyering-VZW-PUBS-10GB	40.25	24.45
Benny Boyd-VZW-PUBS-10GB	40.25	24.45
COI Energy-VZW-PUBS-10GB	40.25	24.45
Wendy Young-VZW-PUBS-10GB	40.25	24.45
Brain TMO Demo	7	
eNeura SWI Demo	1	
DMG-WELLS-DEMO-VZW-PN-1GB :: a57f9209-3f15-451e-9f36-baeb10b2362d	25	12.35
eNeura SWI PPU	0.28	
Cobalt Robotics-NSA-VZW-PUBD-8GB	32.25	19.61
PICT :: VZWPublic :: (381) :: 3 GB	20	7.51
Secura TMO Demo	7	
Discovery Management Group :: VZWPublic :: (611) :: 3 GB	20	7.51
TripShot-VZW-PUBD-3GB	20	7.51
Nightingale Security-VZW-PUBD-3GB	20	7.51
Starship-VZW-PUBD-3GB	20	7.51
Carl Street VZW DIA 1GB Demo	15	2.67
ECI VZW Demo	15	2.67
Ranch Systems Demo 1GB :: Public Dynamic :: :: ba2c59d6-9833-4f0e-b48d-902be98b34f3	15	2.67
SkyCentrics ATT Demo	8	
ePlanet VZW Public Dynamic 1GB Demo	15	2.67
Embark 1GB Demo :: Public Dynamic :: :: b5a456d7-d282-4d73-808a-219b3831fe74	15	2.67
EnviroSmarts 1GB DIA Demo	15	2.67
Solar Data Systems 1GB DIA Demo	15	2.67
Kelvin VZW 1GB	13.5	5.09
IRD SWI 5MB	0.6	
Kelvin VZW 2GB	13.5	5.09
Kelvin Inc :: VZWPublic :: (114) :: 2 GB	13.5	5.09
RSS VZW 2GB :: 54d5ef19-28c6-4893-989b-19d81bb8158d	13.5	5.09
Greenlots VZW 2GB :: c3c13d0a-b522-406b-b7b4-4c6a9ad15c52	13.5	5.09
Farmers Electric VZW 2GB :: ed98e38b-5368-48ea-a548-2a8a7e277964	13.5	5.09
Farmers Electric Coop :: VZWPublic :: (570) :: 2 GB	13.5	5.09
Canyon Country-VZW-PUBS-2GB	13.5	5.09
Fazoli ATT 250MB	5.5	
GSTV :: VZWPublic :: (1) :: 2 GB	13.5	5.09
WaterTechonics-NZW-PUBS-2GB	13.5	5.09
ZOOM SYSTEMS :: VZWPublic :: (214) :: 2GB	13.5	5.09
ZOOM SYSTEMS VZW DIA 2GB	13.5	5.09
New England ATM SWI Demo	20.2	
Bob's Metals Inc :: VZWPublic :: (618) :: 2 GB	13.5	5.09
A&E Security and Electronic Solutions :: VZWPublic :: (683) :: 2 GB	13.5	5.09
Farm from a Box :: VZWPublic :: 2 GB	13.5	5.09
Samsara VZW Public 2GB	13.5	5.09
Axiom Cloud Inc-VZW-PUBS-2GB 	13.5	5.09
Swiftmile-VZW-PUBS-5GB	20.25	12.35
Carmanah TMO 1GB	7	
Ranch Systems-VZW-PUBS-5GB	20.25	12.35
Carmanah Signs TMO Demo :: 68432e72-e11c-42d1-ae13-0fb01557c3a6	7	
Carmanah Signs ATT Demo :: 6ce3e2c9-2442-474f-8600-0846a5ea15d5	5.5	
Carmanah Signs Inc-ATT-DIA-1GB	8	
Heritage Church-VZW-PUBD-5GB	20.25	12.35
"Paul McKairnes dba, Irish Productions-VZW-DIA-5GB"	20.25	12.35
Midwest PMS 1MB ATT Demo	2.99	
Bonney Lake # 5970-VZW-PUBS-5GB	20.25	12.35
Pro Performance USA-NSA-VZW-PUBS-5GB	20.25	12.35
David Koby-VZW-PUBS-5GB-pdf	20.25	12.35
DPT Holdings LLC-VZW-PUBD-5GB	20.25	12.35
Sauk Valley Bank-VZW-PUBS-5GB	20.25	12.35
Van Hessen USA-VZW-PUBD-5GB	20.25	12.35
Canyon Hills Presbyterian Church-VZW-PUBD-5GB	20.25	12.35
Compusystems-VZW-PUBS-5GB	20.25	12.35
V&V Supremo Foods-VZW-PUBS-5GB	20.25	12.35
Nashville B-Cycle ATT 750MB	10.5	
Remprex LLC-VZW-PUBS-5GB	20.25	12.35
Gas Technology Institute-VZW-PUBS-5GB	20.25	12.35
Chronotrack SWI Demo	0	
"Exhibit People, LLC-VZW-PUBD-5GB"	20.25	12.35
EM-Energy Solutions NA LLC-VZW-PUBS-5GB	20.25	12.35
Tyrion Integration Services-VZW-PUBD-5GB	20.25	12.35
Butlr Technologies-VZW-PUBD-5GB	20.25	12.35
Viewlogies LLC-VZW-PUBS-5GB	20.25	12.35
"CEGM Rancho Cordova, LLC-VZW-PUBS-5GB"	20.25	12.35
ECAM Secure-VZW-PUBS-5GB	20.25	12.35
Scotty TMO 10GB	50	
A & E Security and Electronic Solutions-VZW-PUBS-5GB	20.25	12.35
Cypress Envirosystems-VZW-PUBS-5GB	20.25	12.35
Econolite-Public-VZW-PUBS-5GB	20.25	12.35
Postmates X TMO 20GB	90	
Postmates X ATT 20GB	95	
COI Energy-VZW-PUBS-5GB	20.25	12.35
WatShout SWI Demo	0	
Secura Stock TMO UNL	0.5	
Domico Software-VZW-PUBS-1GB	8	2.67
Telepath Corporation-VZW-PUBD-3GB	12.25	7.51
Augmedix-VZW-DIA-3GB	12.25	7.51
Compass Health TMO Demo	7	
Cognito VF Demo	0	
"TCS Basys Controls, Inc.-VZW-PN-3GB"	12.25	7.51
Plenty TMO Demo	7	
Switch Automation-VZW-PUBD-3GB	12.25	7.51
NextBus VZW 1GB	7	2.67
Zededa VF Demo	43.2	
NextBus :: VZWPublic :: (607) :: 1 GB	7	2.67
Skool Live VZW 1GB :: b934197e-a098-45e7-a1ec-70f482e24357	7	2.67
Glosten TMO 1GB	7	
Ambyint SWI 10MB	1	
LG MRI :: VZWPublic :: (252) :: 1 GB	7	2.67
Meridian Zero VZW 1GB :: ae2c173d-6a27-4f31-a844-4f0de60efc9c	7	2.67
Fresenius VZW 1GB :: 5084e9c9-edae-4512-9dc8-22b4434465b7	7	2.67
Aaeon TMO Demo	7	
AAEON VF 1GB Demo	0	
Lexmark VZW 1GB :: d13d002e-aa53-45a0-b966-6a15ccb56309	7	2.67
Walker ATT Demo	8	
Demo VZW 1GB	7	2.67
Bicycle Transit VZW 1GB	7	2.67
BicycleTransit::VZWPublicDynamic:: (212)::1GB	7	2.67
CDWare SWI 5MB	0.6	
Wiserg VZW 1GB	7	2.67
Tekmar SWI PPU	0.2	
Dor 1GB CAT M1 Demo :: d52b147e-a604-4ca7-bcdf-3e5d00e843cc	7	2.67
MFA VZW 1GB	7	2.67
Fresenius VZW 1GB Demo :: 90a65b75-bb7d-4b9b-a260-142bec3772c2	7	2.67
Rockspoon VZW 1GB Demo :: f6fc7b08-bb0a-4d93-9185-69d434a1e891	7	2.67
Aker Wade VZW Demo 1GB DIA	7	2.67
Eagle Research SWI Demo	20.2	
Doordash Demo VZW :: 4a2d17f4-f7cb-4bb2-804e-1f581e8dddad	7	2.67
Scoot VF 5MB	1.09	
Doordash VZW 1GB :: 670def23-0edd-40f7-b5b9-c31482616751	7	2.67
Scoot VF 30MB	0.75	
Petasense_VZW_Demo_1Gb :: a5b4bf28-3977-409f-a7d7-0bb56c80f15c	7	2.67
Petasense VZW 1GB Open DIA	7	2.67
Econolite-VZW-PUBS-1GB	7	2.67
Securent SWI Demo 250MB	0	
Securent AT&T Demo 1GB	8	
Streamline SWI Demo	20.2	
DMG VZW 1GB Demo :: 2d50f1d1-8b86-473a-a969-71c2b97e39a2	7	2.67
Encore SWI Demo	20.2	
Idaho Motorsports SWI 1MB	0.28	
Ventek VZW 1GB :: 0651a621-23e5-4b9c-a0f2-e73663b49362	7	2.67
Ventek :: VZWPublic :: (566) :: 1 GB :: 681dcb18-861f-4dc6-8571-a99142dd2896	7	2.67
TCS PublicDynamic 1GB demo :: 9ee69c31-26e0-4cb6-8911-e9fd977fa377	7	2.67
Kelvin VZW Demo :: b86a194e-bd16-46bc-b191-d49e2dee4253	7	2.67
TSI VZW 1GB :: d110956e-9315-483d-b8d3-e713fb727eb3	7	2.67
BCYCLE VZW 1GB :: 44665881-3645-4669-807c-2a9a38577827	7	2.67
BCycle VZW DIA M1 1GB Demo	7	2.67
SensoScientific VZW Demo :: 62c07d4c-677d-4ac9-a551-2209a44f7432	7	2.67
CaptiveAire VZW Demo :: 8c2ddad6-d90a-446e-b8a3-12973435d575	7	2.67
Postmates VZW Demo :: 4d05320f-5ff1-46f7-95fe-a9cffaeb1079	7	2.67
Measuretek VZW Demo :: e26dc929-28e6-4782-aa68-c19dc6ebf2a2	7	2.67
Practech_SWI_Demo	0	
Turret Labs VZW Demo :: ccba5c6a-2338-4bdd-9881-d619fea525e0	7	2.67
Salient ATT Demo	8	
Turret Labs VZW 1GB :: 767d560c-2360-47e0-9f23-71809eccf15e	7	2.67
Salient ATT 100MB	4	
Volta VZW DIA 1GB	7	2.67
Volta Charging :: VZWPublic :: (638) :: 1 GB	7	2.67
Waterbit VZW 1GB	7	2.67
Razor VF PN 3MB 	0.8	
Mike Bae VZW Test	7	2.67
Grover Gaming VZW DEMO :: 6670e8db-94f0-496c-9d7b-dd96f67f25f0	7	2.67
Powerflex VZW DEMO :: 800825a5-61eb-4497-b148-44ce246160ca	7	2.67
Starship VZW DEMO :: dfbfc60d-34ad-4de1-b77d-a96e2b1a8bc9	7	2.67
Sonitrol TMO 50MB	1	
Cellbeat ATT Demo	8	
ABC VZW 1GB :: c4e746ef-5186-4e47-aedd-6292e71de78a	7	2.67
MeLink VZW Demo :: b1ee0ad4-b1d2-49f7-88e4-9f8854ca4e88	7	2.67
Parcel Pending VZW Demo :: 91c78571-5cf1-45ca-844f-86280b82b579	7	2.67
Meshh TMO 500MB	5.5	
Vision SWI Demo	0	
ParcelPending-VZW-DIA-1GB	7	2.67
Window Nation VZW 1GB :: 79f67b1c-5a30-40e4-b11f-b01018ca3ee9	7	2.67
Vision_1MB_SWI	0.28	
M&M VZW Demo :: 3cabe48e-a96d-4c21-ba90-dfa8f2895d48	7	2.67
CredenceID VF Demo	4.49	
Flo-Corp VZW Demo :: 7dcd9353-fe9e-4081-a253-5f413a388f67	7	2.67
Aclima VZW Demo	7	2.67
Variety VZW Demo :: 82292889-b395-47d4-b2f3-8a7d39edf449	7	2.67
Cobalt TMO 5GB	35	
Safe Enviro VZW 1GB :: fcc411f2-96c8-44b2-87df-8b33f65a84f3	7	2.67
Cobalt AT&T Jasper 1GB Demo	8	
Cobalt ATT DIA 5GB	30	
Cobalt Robotics VDF 5GB	42.87	
Cobalt Telus DIA 5GB	40	
Applocation SWI Demo	20.2	
Telesense VZW DIA 1GB	7	2.67
Luminar VZW Demo :: cd19f6f6-3d3b-48b1-8748-f14e7bc50197	7	2.67
Citrix VZW Demo :: c64e0a31-612e-496a-8605-cb581477e0f5	7	2.67
Automotion VZW Demo :: 140b0bc2-d603-4510-9adb-f8139c7aed63	7	2.67
OnTrak SWI Demo	20.2	
Automotion VZW 1GB	7	2.67
GGP VZW Demo :: 65efb205-c660-4260-a650-45d77fd4b601	7	2.67
BRAGANZA :: VZWPublic :: (451) :: 1 GB	7	2.67
CARTTRONICS :: VZWPublic :: (236) :: 1 GB	7	2.67
AESecurity_TMO_2GB	14	
CHECKVIDEO :: VZWPublic :: (4) :: 1 GB	7	2.67
Umbra TMO 1GB	7	
Corporate IT Solutions :: VZWPublic :: (63) :: 1 GB	7	2.67
GoFind_SWI_Demo	0	
Supermicro VF 1GB Demo :: 0f304da3-8f01-4629-a858-755631794025	120	
Comfort Comp SWI Demo	20.2	
Arrris_1GB_TMO_DEMO	7	
ATT Demo 1GB	8	
CROWNMOTORS :: VZWPublic :: (250) :: 1 GB	7	2.67
Daintree-DEMO-VZW-PN-1GB	7	2.67
DMG-BOFA-VZW-PUBS-1GB :: 86f2478b-fcba-4825-87d1-465c28f8875c	7	2.67
DMG MITSUBISHI :: VZWPublic :: (745) :: 1 GB :: 52bc8fff-8948-4cc8-82c9-764867bf01aa	7	2.67
DMG-TPN-VZW-PUBS-1GB :: d7738661-8b87-4530-a1d5-56acfb28d53f	7	2.67
DMSCOMMUNICATIONS :: VZWPublic :: (111) :: 1 GB	7	2.67
ENVIROMAX :: VZWPublic :: (121) :: 1 GB	7	2.67
Gentrifi VZW DIA 1GB CATM1 Demo	7	2.67
GREEN POWER :: VZWPublic :: (584) :: 1 GB	7	2.67
GROCERYOUTLET :: VZWPublic :: (700) :: 1 GB	7	2.67
GUITAR CENTER :: VZWPublic :: (27) :: 1 GB	7	2.67
IN-N-OUT::VZWPublic::1GB	7	2.67
Ojo VDF 3MB 	1.5	
OJO VDF 5MB WC1	1.08	
ISLANDLUMBER :: VZWPublic :: (260) :: 1 GB	7	2.67
JAF INTERNATIONAL  :: VZWPublic :: (362) :: 1 GB	7	2.67
MSF_SWI_1MB	0.28	
MSF_VDF_WC1_DEMO	125	
MSF_VDF_WC3_Demo	125	
MSF VDF 1MB	0.55	
Bi-Rite ATT Demo 1GB	8	
MEIOMI :: VZWPublic :: (229) :: 1 GB	7	2.67
Motec Pro-VZW-PUBS-1GB	7	2.67
OwensHealth VZW 1GB :: Public Static ::	7	2.67
PICT VZW :: PUBLIC STATIC :: 1GB	7	2.67
RocketEMs_SWI_DEMO	0	
PWS :: VZWPublic :: (531) :: 1 GB	7	2.67
RADIO CAB :: VZWPublic :: (541) :: 1 GB	7	2.67
SECUIRTYIP :: VZWPublic :: (193) :: 1 GB	7	2.67
SETOMATIC :: VZWPublic :: (369) :: 1 GB	7	2.67
SMILE STATION :: VZWPublic :: (445) :: 1 GB	7	2.67
TIPS TRI TIP :: VZWPublic :: (135) :: 1 GB	7	2.67
TOTALLY NETWORKED :: VZWPublic :: (353) :: 1 GB	7	2.67
TOWERROCKS :: VZWPublic :: (431) :: 1 GB	7	2.67
TURNKEY :: VZWPublic :: (427) :: 1 GB	7	2.67
UNITEDOIL :: VZWPublic :: (144) :: 1 GB	7	2.67
VANDEPOL :: VZWPublic :: (115) :: 1 GB	7	2.67
VENSTAR :: VZWPublic :: (221) :: 1 GB	7	2.67
DataSys TMO 1GB Demo	7	
Blyncsy VZW Demo :: 0d4198ff-53f8-476b-a575-a5caecdda629	7	2.67
Doorbird VZW Demo :: 32e34999-58bd-48bc-9829-647d2b0ce582	7	2.67
BICOASTAL :: VZWPublic :: (553) :: 1 GB	7	2.67
Galaxy Consulting VZW Demo :: 85056ce8-1144-47d2-a344-99a55ba4cfea	7	2.67
Palletech ATT Demo 1GB	8	
Arable SWI Demo	20.2	
Arable SWR 10MB	1	
AKDHC :: VZWPublic :: (569) :: 1 GB	7	2.67
Maestro VZW Demo	7	2.67
Albertsons TMO Demo 1GB	7	
CompuMed Inc :: VZWPublic :: (532) :: 1 GB	7	2.67
Terrasense VZW Demo :: 86d47abe-2b22-4f58-8975-78d8642bd6ae	7	2.67
InnovativeAdvantage VF PPU	1	
WISRAN VZW DEMO :: d9267532-2996-4ae7-867d-4a4bba7c8bbc	7	2.67
Naak SWI 1MB	0.28	
Naak SWA Demo	0	
Improve Group VZW Demo :: 599a5663-b8e3-47aa-b6de-79ce6f40402a	7	2.67
Naak TMO 3MB Public Dynamic	0.53	
Improve Group VZW 1GB	7	2.67
Naak AT&T 3MB DIA	3	
Heartland VZW 1GB :: 843909cf-7ad6-4c5f-a282-0deb3f74d59c	7	2.67
Procomm VZW Demo :: a31073b3-6e95-49fc-b4f1-067358a76bf3	7	2.67
eNeura VZW Demo :: 9c92380c-aa26-4a3e-91fc-a97aded2512e	7	2.67
eNeura VZW DIA Demo 1GB	7	2.67
Brown Bear Technologies 30 Day SWR-DEMO 250MB	20.2	
UGSI (PSI Water Tech)-VZW-PUBS-1GB	7	2.67
DMG-TDBANK-VZW-PUBS-1GB :: 4b4869ac-71be-45f2-9016-743085eb2f55	7	2.67
Star Sanitation SWA Demo	20.2	
Star Sanitation SWR 100MB	9	
WeatherCloud VZW Demo :: f67f8c09-5d70-4203-928b-b2c29486faa6	7	2.67
WeatherCloud VZW 1GB	7	2.67
SkyCentrics VZW Demo	7	2.67
Power House VZW Demo :: b29e746f-a466-4dc0-84c8-af005c3eb164	7	2.67
SANTALUZ :: VZWPublic :: (592) :: 1 GB	7	2.67
Universal Engineering Sciences :: VZWPublic :: (670) :: 1 GB	7	2.67
Industrack SWI 3MB	0.44	
Industrack SWI 5MB	0.6	
Edward Jones VZW Demo :: 2fe069df-8d05-4b0f-a738-c09d369ca503	7	2.67
Accurate Security VZW 1GB :: 43d01226-f1fb-4324-8fc4-63667f704ee3	7	2.67
"Accurate Security Pros, Inc :: VZWPublic :: (624) :: 1 GB"	7	2.67
Carmanah Signs Inc-VZW-DIA-1GB	7	2.67
Caswell VZW DEMO :: b5cb4395-c6da-4cdf-9154-95b04bd10b71	7	2.67
Elastic M2M Demo SWR 1GB	0	
Bonita VZW 1GB :: fa2f8fec-3b70-432f-a881-b98088769f6f	7	2.67
Memomi Telus 1GB	13.5	
Bonita Golf Course :: VZWPublic :: (613) :: 1 GB	7	2.67
Heartland Lincoln VZW 1GB :: 7adac0e0-fd32-44aa-a9f7-70a3dbe90a5d	7	2.67
Ventra VZW Demo :: 4be5442f-919f-4b86-af62-5740db3fa10f	7	2.67
VDF Demo PN 1GB :: 25eccd1c-f43e-49c6-94df-e7137447b4c4	125	
Emerson VZW Demo :: 68ab80d0-dee7-40b6-8b1f-535f16635281	7	2.67
Fronius VZW Demo	7	2.67
ITT VZW Demo	7	2.67
Swiftmile-VDF-PN-10MB-WC1	2	
Kiwi Campus VZW Demo	7	2.67
Scotty Labs VZW Demo :: 14e0fedc-8ff0-40c2-b36d-6f8f21f0cc1f	7	2.67
WakeMed VZW Demo :: b76690e3-aa7e-494e-a2e6-7bc9b873d497	7	2.67
Santa Teresa Golf Club :: VZWPublic :: (634) :: 1 GB	7	2.67
Plenty VZW Demo	7	2.67
Zededa VZW Demo :: 2b8552da-d5fb-4f25-8ae6-5ecb18e5ef4e	7	2.67
Cree VZW Demo :: 06aea35b-9745-49fc-beaf-002970b42293	7	2.67
Cree Inc :: VZWPublic :: (684) :: 1 GB	7	2.67
Switch Automation VZW 1GB	7	2.67
Eckman VZW Demo	7	2.67
Potrero VZW 1GB Demo :: 4ef3ea97-e298-4c00-b05a-9a480927df42	7	2.67
Admirals Choice :: VZWPublic :: (647) :: 1 GB	7	2.67
Brightgate VZW Demo :: b7c72847-11a5-46ab-b09e-c3afc9f4d83f	7	2.67
Thrifty Supply :: VZWPublic :: (666) :: 1 GB	7	2.67
Securent VZW Demo 1GB :: df7cc1be-8b1b-4bed-b081-505a09909a1d	7	2.67
See Water VZW Demo :: 6390e4ef-5c93-4b88-b6a1-b71e879f1f10	7	2.67
Bodyport VZW Demo	7	2.67
Practech VZW Demo :: 1bbff40c-657a-4baf-b40e-62f53782c8e1	7	2.67
AAA Kartak Glass Inc :: VZWPublic :: (672) :: 1 GB	7	2.67
Vision VZW Demo :: c28b383f-b5e0-48a5-9827-9621c8f33575	7	2.67
CredenceID VZW Demo :: 055dd741-2e39-4e9d-920a-703de0b9d65d	7	2.67
Boingo Wireless :: VZWPublic :: (675) :: 1 GB	7	2.67
Applocation VZW Demo	7	2.67
Safehub VZW Demo :: 7fac60a7-8653-4d46-b513-67daf62dfdc8	7	2.67
OnTrak VZW Demo :: 7037e17a-c49a-4a19-99be-d7ac2bb4a5bb	7	2.67
All Pro Bail Bonds :: VZW Public Static :: (680) :: 1 GB	7	2.67
GoFind VZW Demo :: bfc6c92d-c708-42ae-bc9d-e1421a6fe5f5	7	2.67
"Arris Group, Inc :: VZWPublic :: (691) :: 1 GB"	7	2.67
Durabook VZW Demo :: 282c6174-5695-4422-a6ff-70690ba0f79d	7	2.67
Gateway Taxi VZW Demo :: f5d05ef6-43c8-47e7-b6ba-ac099e6a7b74	7	2.67
IT Managaement Corporation :: VZWPublic :: (692) :: 1 GB	7	2.67
Farm from a Box Demo:: VZWPublic :: (744) :: 1 GB	7	2.67
OJO_VZW_Demo	7	2.67
Yardi_SWI_Demo :: 507d230f-e77f-4f95-ba52-4f99af36feb7	7	2.67
Martinson_VZW_Demo :: 7ad5ffed-703e-45d7-8190-103e7ec00461	7	2.67
SimplGlobal_VZW_Demo	7	2.67
Belden_VZW_Demo :: 5b1b0970-b8db-42df-a514-c2c747991666	7	2.67
Alaris_VZW_1GB :: f7b44721-2748-4b0b-8fff-9f63fd20a22a	7	2.67
Communications Northwest :: VZWPublic :: (704) :: 1 GB	7	2.67
